"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"congenital hemolytic anemia","congenital hemolytic anemia","25/250","285/17907",0.087719298245614,6.28315789473684,10.6979178316419,2.63141965487051e-13,6.71801437888442e-10,4.94706895115657e-10,"HBB/HBE1/PRDX2/KRT84/RPN2/HP/P4HB/PKM/TFRC/ALDOA/HSPA1B/HBZ/HSPB1/HBG1/SERPINC1/PGK1/ALDOC/SLC4A1/CYB5R3/MBD1/BLVRB/ADA/F2/ALAD/HPX",25,"up"
"epidermolysis bullosa simplex","epidermolysis bullosa simplex","12/250","69/17907",0.173913043478261,12.4570434782609,11.3457931809863,1.83570524684647e-10,2.34327774759952e-07,1.72556293203568e-07,"DES/KRT1/KRT10/KRT4/KRT17/HSPA1B/NEFM/HSPA1A/KRT6A/KRT14/KRT15/VCL",12,"up"
"hemoglobinopathy","hemoglobinopathy","16/250","161/17907",0.0993788819875776,7.11831055900621,9.27908285966033,9.60068390602609e-10,8.1701820040282e-07,6.01642858110968e-07,"HBB/HBE1/HP/PKM/TFRC/HSPA1B/HBZ/HSPB1/HBG1/SERPINC1/SLC4A1/CYB5R3/BLVRB/F2/ALAD/HPX",16,"up"
"Normocytic anemia","Normocytic anemia","12/250","87/17907",0.137931034482759,9.87972413793103,9.87907053732498,2.95836826617741e-09,1.88817854588773e-06,1.39043308510338e-06,"HBB/SLC2A1/RPS24/RPL18/ALDOA/RPS28/PGK1/SLC4A1/RPS10/ADA/RPS19/RPL27",12,"up"
"Anemia","Anemia","12/250","94/17907",0.127659574468085,9.144,9.41985014157177,7.30668255880302e-09,3.73079211452482e-06,2.74731264210993e-06,"HBB/SLC2A1/RPS24/RPL18/ALDOA/RPS28/PGK1/SLC4A1/RPS10/ADA/RPS19/RPL27",12,"up"
"mesenchymal cell neoplasm","mesenchymal cell neoplasm","15/250","163/17907",0.0920245398773006,6.59153374233129,8.53315871932467,9.37080581729808e-09,3.91062489685727e-06,2.8797394461777e-06,"DES/ACTA1/KRT19/KRT1/SLC2A1/KRT4/VIM/NEFL/KRT15/KIT/VCL/TG/TTR/PROX1/SALL4",15,"up"
"hereditary mucosal leukokeratosis","hereditary mucosal leukokeratosis","6/250","13/17907",0.461538461538462,33.0590769230769,13.7587762833196,1.10262443197953e-08,3.91062489685727e-06,2.8797394461777e-06,"KRT1/KRT10/KRT4/KRT6A/KRT14/KRT13",6,"up"
"epidermolytic hyperkeratosis","epidermolytic hyperkeratosis","9/250","46/17907",0.195652173913043,14.0141739130435,10.5160701032534,1.22542104092668e-08,3.91062489685727e-06,2.8797394461777e-06,"DES/KRT1/KRT10/KRT4/KRT17/KRT6A/KRT14/KRT15/PADI2",9,"up"
"congenital afibrinogenemia","congenital afibrinogenemia","7/250","28/17907",0.25,17.907,10.6533155765142,8.76335186419921e-08,2.48587081214451e-05,1.83056683385495e-05,"SERPINE1/FGG/SERPINC1/CFHR1/PLG/FGB/F2",7,"up"
"congenital hypoplastic anemia","congenital hypoplastic anemia","19/250","322/17907",0.0590062111801242,4.22649689440994,6.95182509404567,1.4228583648284e-07,3.6325574054069e-05,2.67497372587739e-05,"RPL14/RPS24/RPS3/MUS81/HPRT1/RPLP2/RPL7/TXN/RPS28/PGK1/RPS10/PSMB3/ADA/RPS19/RPL6/NHP2/TELO2/POLM/RPL27",19,"up"
"methemoglobinemia","methemoglobinemia","10/250","80/17907",0.125,8.9535,8.48349840589286,1.64240354955295e-07,3.8118693290988e-05,2.80701697559959e-05,"HBB/HP/PKM/HSPA1B/HSPB1/HBG1/SLC4A1/CYB5R3/BLVRB/ALAD",10,"up"
"macrocytic anemia","macrocytic anemia","12/250","128/17907",0.09375,6.715125,7.72125489005349,2.38812063037956e-07,5.08072664113251e-05,3.74138898759464e-05,"HBE1/KRT84/RPS24/HP/HPRT1/TFRC/RPS28/SLC25A4/MPO/RPS10/MBD1/RPS19",12,"up"
"diamond-blackfan anemia","diamond-blackfan anemia","11/250","108/17907",0.101851851851852,7.29544444444444,7.8082068143275,3.29935421538395e-07,6.29775012531921e-05,4.63759116161383e-05,"RPL14/RPS24/RPS3/RPLP2/RPL7/RPS28/RPS10/ADA/RPS19/RPL6/RPL27",11,"up"
"glucosephosphate dehydrogenase deficiency","glucosephosphate dehydrogenase deficiency","9/250","67/17907",0.134328358208955,9.62167164179104,8.41283344336989,3.68508524731372e-07,6.29775012531921e-05,4.63759116161383e-05,"HBB/HBE1/HP/PKM/MPO/SLC4A1/CRYZ/ALAD/HPX",9,"up"
